player_id,player_name,role,from_league,to_league,from_season,to_season,age_from,age_to,holdout
mlbam-669392,Samad Taylor,batter,AAA,MLB,2024,2025,26.0,27.0,False
mlbam-642851,Austin Wynns,batter,AAA,MLB,2024,2025,34.0,35.0,False
mlbam-669743,Alex Call,batter,AAA,MLB,2024,2025,30.0,31.0,False
mlbam-578428,Jose Iglesias,batter,AAA,MLB,2024,2025,34.0,35.0,False
mlbam-676439,Hunter Feduccia,batter,AAA,MLB,2024,2025,27.0,28.0,False
mlbam-687957,Dustin Harris,batter,AAA,MLB,2024,2025,25.0,26.0,False
mlbam-669364,Xavier Edwards,batter,AAA,MLB,2024,2025,25.0,26.0,False
mlbam-663967,César Salazar,batter,AAA,MLB,2024,2025,28.0,29.0,False
mlbam-680728,Adrian Del Castillo,batter,AAA,MLB,2024,2025,25.0,26.0,False
mlbam-666165,Blake Sabol,batter,AAA,MLB,2024,2025,26.0,27.0,False
mlbam-682668,Luisangel Acuña,batter,AAA,MLB,2024,2025,22.0,23.0,False
mlbam-645302,Victor Robles,batter,AAA,MLB,2024,2025,27.0,28.0,False
mlbam-695238,Will Wagner,batter,AAA,MLB,2024,2025,26.0,27.0,False
mlbam-664770,Nathan Lukes,batter,AAA,MLB,2024,2025,30.0,31.0,False
mlbam-671056,Iván Herrera,batter,AAA,MLB,2024,2025,24.0,25.0,False
mlbam-680737,Michael Helman,batter,AAA,MLB,2024,2025,28.0,29.0,False
mlbam-665561,Rafael Marchán,batter,AAA,MLB,2024,2025,25.0,26.0,False
mlbam-680757,Steven Kwan,batter,AAA,MLB,2024,2025,27.0,28.0,False
mlbam-545341,Randal Grichuk,batter,AAA,MLB,2024,2025,33.0,34.0,False
mlbam-456781,Donovan Solano,batter,AAA,MLB,2024,2025,37.0,38.0,False
mlbam-609280,Miguel Andujar,batter,AAA,MLB,2024,2025,29.0,30.0,False
mlbam-669304,Jose F Miranda,batter,AAA,MLB,2024,2025,26.0,27.0,False
mlbam-681481,Kerry Carpenter,batter,AAA,MLB,2024,2025,27.0,28.0,False
mlbam-642215,Weston Wilson,batter,AAA,MLB,2024,2025,30.0,31.0,False
mlbam-673548,Seiya Suzuki,batter,AAA,MLB,2024,2025,30.0,31.0,False
mlbam-608701,Rob Refsnyder,batter,AAA,MLB,2024,2025,33.0,34.0,False
mlbam-642201,Eli White,batter,AAA,MLB,2024,2025,30.0,31.0,False
mlbam-807799,Masataka Yoshida,batter,AAA,MLB,2024,2025,31.0,32.0,False
mlbam-666149,Tyler Fitzgerald,batter,AAA,MLB,2024,2025,27.0,28.0,False
mlbam-672744,Alexander Canario,batter,AAA,MLB,2024,2025,24.0,25.0,False
mlbam-664761,Alec Bohm,batter,AAA,MLB,2024,2025,28.0,29.0,False
mlbam-621439,Byron Buxton,batter,AAA,MLB,2024,2025,31.0,32.0,False
mlbam-621028,Kevin Newman,batter,AAA,MLB,2024,2025,31.0,32.0,False
mlbam-681146,Jonah Bride,batter,AAA,MLB,2024,2025,29.0,30.0,False
mlbam-660162,Yoán Moncada,batter,AAA,MLB,2024,2025,29.0,30.0,False
mlbam-672695,Geraldo Perdomo,batter,AAA,MLB,2024,2025,25.0,26.0,False
mlbam-542932,Jon Berti,batter,AAA,MLB,2024,2025,34.0,35.0,False
mlbam-606992,Eric Haase,batter,AAA,MLB,2024,2025,32.0,33.0,False
mlbam-686765,Nick Sogard,batter,AAA,MLB,2024,2025,27.0,28.0,False
mlbam-663624,Ryan Mountcastle,batter,AAA,MLB,2024,2025,27.0,28.0,False
mlbam-672640,Otto Lopez,batter,AAA,MLB,2024,2025,26.0,27.0,False
mlbam-693304,Nick Gonzales,batter,AAA,MLB,2024,2025,25.0,26.0,False
mlbam-656976,Pavin Smith,batter,AAA,MLB,2024,2025,28.0,29.0,False
mlbam-671218,Heliot Ramos,batter,AAA,MLB,2024,2025,25.0,26.0,False
mlbam-643396,Isiah Kiner-Falefa,batter,AAA,MLB,2024,2025,29.0,30.0,False
mlbam-516782,Starling Marte,batter,AAA,MLB,2024,2025,36.0,37.0,False
mlbam-665052,Griffin Conine,batter,AAA,MLB,2024,2025,27.0,28.0,False
mlbam-663898,Brendan Rodgers,batter,AAA,MLB,2024,2025,28.0,29.0,False
